case_doc_subject_rf,size
Воронежская область,456
Омская область,412
Краснодарский край,367
Алтайский край,359
Пермский край,322
Кемеровская область - Кузбасс,236
Ханты-Мансийский автономный округ - Югра (Тюменская область),230
Ульяновская область,223
Самарская область,222
Ивановская область,219
Белгородская область,214
Тульская область,208
Чеченская Республика,201
Оренбургская область,193
Волгоградская область,188
Рязанская область,188
Владимирская область,181
Костромская область,179
Республика Башкортостан,161
Республика Марий Эл,145
Республика Дагестан,141
Республика Коми,140
Карачаево-Черкесская Республика,136
Смоленская область,131
Республика Мордовия,123
Республика Татарстан ,123
Архангельская область,115
Хабаровский край,112
Псковская область,110
Московская область,109
Амурская область,103
Липецкая область,100
Вологодская область,100
Пензенская область,95
Красноярский край,94
Ямало-Ненецкий автономный округ,93
Мурманская область,93
Курская область,92
Республика Хакасия,92
Ставропольский край,87
Республика Северная Осетия-Алания,79
Астраханская область,77
Республика Карелия,70
Тюменская область,66
Саратовская область,66
Удмуртская Республика,63
Кировская область,61
Чувашская Республика - Чувашия,60
Тамбовская область,59
Курганская область,59
Ярославская область,57
Иркутская область,56
Ростовская область,53
Челябинская область,51
Республика Саха (Якутия),40
Забайкальский край,38
Республика Крым,35
Калужская область,33
Республика Бурятия,32
Томская область,32
Орловская область,32
Кабардино-Балкарская Республика,32
Брянская область,30
город Севастополь,29
Нижегородская область,29
Приморский край,27
Новгородская область,26
Новосибирская область,25
Город Москва,22
Сахалинская область,18
город Санкт-Петербург,17
Республика Адыгея,16
Калининградская область,16
Свердловская область,16
Республика Калмыкия,15
Тверская область,13
Республика Алтай,13
Камчатский край,13
Кемеровская область,9
Республика Ингушетия,6
Чукотский автономный округ,3
Ленинградская область,3
Республика Тыва,2
Магаданская область,2
Еврейская автономная область,1
За пределами территории РФ,1
Республика Татарстан,1
